source,target,confidence,method,status,evidence,alternatives
octave361-docs,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'http://www.gnu.org/software/octave//' as 'octave' but desc overlap only 0.08; versions '3.6.1' vs '11.3.0'; fuzzy suggestions listed for review,octave-doc; octave-ocs
octave362-docs,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'http://www.gnu.org/software/octave//' as 'octave' but desc overlap only 0.08; versions '3.6.2' vs '11.3.0'; fuzzy suggestions listed for review,octave-doc; octave-ocs
octave363-docs,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'http://www.gnu.org/software/octave//' as 'octave' but desc overlap only 0.08; versions '3.6.3' vs '11.3.0'; fuzzy suggestions listed for review,octave-doc; octave-ocs
octave364-docs,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'http://www.gnu.org/software/octave//' as 'octave' but desc overlap only 0.08; versions '3.6.4' vs '11.3.0'; fuzzy suggestions listed for review,octave-doc; octave-ocs
octcdf%type_raw[-nc]-oct%type_pkg[oct],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
octcdf-oct%type_pkg[oct],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
octcdf-oct305,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
octclip-oct%type_pkg[oct],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
octgpr%type_pkg[-blas]-oct%type_pkg[oct],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
octplot%type_pkg[-aqua],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
octproj-oct%type_pkg[oct],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
odcctools,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,ndcctools; cctools
ode1,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,ode
ode3,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,ode
odebvp-oct%type_pkg[oct],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
odepkg%type_pkg[-atlas]-oct%type_pkg[oct],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
odepkg%type_pkg[-atlas]-oct305,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
odepkg%type_pkg[-blas]-oct%type_pkg[oct],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
odepkg%type_pkg[-blas]-oct305,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
odsclient,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,cdsclient; nds2-client; tsclient
offlineimap,offlineimap,1.0,exact,confident,name identical in both managers; homepages 'http://offlineimap.org/' vs 'https://www.offlineimap.org',
ogmtools,ogmtools,1.0,exact,confident,name identical in both managers; homepages 'http://www.bunkus.org/videotools/ogmtools/index.html' vs 'http://www.bunkus.org/videotools/ogmtools/',
oinkmaster,oinkmaster,1.0,exact,confident,name identical in both managers; homepages 'http://oinkmaster.sf.net/' vs 'http://oinkmaster.sourceforge.net/',
okteta4-%type_pkg[kde],,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'http://www.kde.org/applications/utilities/okteta/' as 'okteta' but desc overlap only 0.10; no lookalikes either,
okular4-%type_pkg[kde],,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'http://www.kde.org/' as 'kde-wallpapers' but versions '14.12.3' vs '4.14.3'; no lookalikes either,
okumura-clsfiles,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
olc,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,lc
ole-storagelite-pm,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,p5-ole-storage_lite; p5.34-ole-storage_lite; p5.32-ole-storage_lite
olefile-py%type_pkg[python],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
oleo,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
olsrd,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
omake,omake,1.0,exact,confident,name identical in both managers; homepages 'http://omake.metaprl.org' vs 'http://projects.camlcity.org/projects/omake.html',
ondir,ondir,1.0,exact,confident,name identical in both managers; homepages 'http://ondir.sourceforge.net/' vs 'https://swapoff.org/ondir.html',
oneclickftp,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
oneko,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,neko; nheko
oniguruma,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,oniguruma6; oniguruma5
onyx,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
opak,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,oak
opal2,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
opal3.6.0,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
open-cobol,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
openal,openal,1.0,exact,confident,name identical in both managers; homepages '' vs 'http://www.openal.org/',
openbabel,openbabel,1.0,exact,confident,name identical in both managers; homepages 'http://openbabel.sourceforge.net/' vs 'https://openbabel.org',
openbabel-py%type_pkg[python],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
openblas,OpenBLAS,0.96,normalized,confident,'openblas' ~ 'OpenBLAS' after case/punctuation folding,
openbox,openbox,1.0,exact,confident,name identical in both managers; homepages 'http://icculus.org/openbox/' vs 'http://openbox.org',
opencity,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
opencv-shlibs,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
opencv2.4-shlibs,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'http://opencv.org/' as 'py314-opencv4-devel' but versions '2.4.13.7' vs '4.9.0'; no lookalikes either,
opencv3.2-shlibs,,0.0,ambiguous,needs-review,homepage shared by several targets,py311-opencv3-devel; py311-opencv3; py310-opencv3-devel; py310-opencv3; py39-opencv3-devel
opencv3.4-shlibs,,0.0,ambiguous,needs-review,homepage shared by several targets,py311-opencv3-devel; py311-opencv3; py310-opencv3-devel; py310-opencv3; py39-opencv3-devel
opencv407-shlibs,,0.0,ambiguous,needs-review,homepage shared by several targets,py314-opencv4-devel; py314-opencv4; py313-opencv4-devel; py313-opencv4; py312-opencv4
openexr,openexr,1.0,exact,confident,name identical in both managers; homepages 'http://www.openexr.com/' vs 'https://www.openexr.com',
opengl%type_pkg[-nox]-py%type_pkg[python],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
opengl-mac-rb18,rb-opengl,0.9,homepage,confident,same upstream 'http://www2.giganet.net/~yoshi' (desc overlap 0.25),
opengl-pm%type_pkg[perl],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
opengl-rb18,rb-opengl,0.9,homepage,confident,same upstream 'http://www2.giganet.net/~yoshi' (desc overlap 0.25),
openglad,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,openload
openglut,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,p5-opengl-glut
opengtl,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,PEGTL; rb-opengl; py-opengl
openh323-1,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
openjade,openjade,1.0,exact,confident,name identical in both managers; homepages 'http://openjade.sourceforge.net/' vs 'http://openjade.sourceforge.net/',
openjnlp,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,OpenJPH; openslp
openlayers-js,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
openldap-ssl,,0.0,ambiguous,needs-review,homepage shared by several targets,openldap-devel; openldap
openldap23,,0.0,ambiguous,needs-review,homepage shared by several targets,openldap-devel; openldap
openldap24,,0.0,ambiguous,needs-review,homepage shared by several targets,openldap-devel; openldap
openldap24%type_pkg[-64bit],,0.0,ambiguous,needs-review,homepage shared by several targets,openldap-devel; openldap
openldap26,,0.0,ambiguous,needs-review,homepage shared by several targets,openldap-devel; openldap
openmcl,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,R-OpenCL; R-OpenML; opensaml
openmcu,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
openmotif3,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,openmotif
openmotif4,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,openmotif
openmotif4-2level,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
openmpi,openmpi,1.0,exact,confident,name identical in both managers; homepages 'http://www.open-mpi.org' vs 'https://www.open-mpi.org/',
openmpi-ext-oct%type_pkg[oct],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
openmpi-ext-oct364,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
opennap,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,openntpd; openldap
opennap-ng,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
openni,openni,1.0,exact,confident,name identical in both managers; homepages 'http://www.openni.org' vs 'https://github.com/OpenNI/OpenNI',
openni-sensor-avin2-sensorkinect,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
openni-sensor-primesense,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
opennms,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,openEMS; pennmush
openocd,openocd,1.0,exact,confident,name identical in both managers; homepages 'http://openocd.sourceforge.net/' vs 'http://openocd.sourceforge.net/',
openorb,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
openpyxl-py%type_pkg[python],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
openslp,openslp,1.0,exact,confident,name identical in both managers; homepages 'http://www.openslp.org/index.html' vs 'http://www.openslp.org/',
openslp-ssl,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'http://www.openslp.org/index.html' as 'openslp' but desc overlap only 0.11; fuzzy suggestions listed for review,openssl; openslp
opensp3-shlibs,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'http://openjade.sourceforge.net/' as 'opensp' but desc overlap only 0.00; no lookalikes either,
opensp4-shlibs,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'http://openjade.sourceforge.net/' as 'opensp' but desc overlap only 0.05; no lookalikes either,
opensp5-shlibs,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'http://openjade.sourceforge.net/' as 'opensp' but desc overlap only 0.05; no lookalikes either,
openssh,openssh,1.0,exact,confident,name identical in both managers; homepages 'http://www.openssh.com/portable.html' vs 'https://www.openbsd.org/openssh/',
openssl,openssl,1.0,exact,confident,name identical in both managers; homepages 'http://www.openssl.org/' vs 'https://www.openssl.org/',
openssl098-dev,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'http://www.openssl.org/' as 'openssl11' but versions '0.9.8zc' vs '1.1.1w'; no lookalikes either,
openssl100%type_pkg[-64bit]-dev,,0.0,ambiguous,needs-review,homepage shared by several targets,openssl11; openssl10
openssl100-dev,,0.0,ambiguous,needs-review,homepage shared by several targets,openssl11; openssl10
openssl110-dev,,0.0,ambiguous,needs-review,homepage shared by several targets,openssl11; openssl10
openssl300-dev,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://www.openssl.org/' as 'openssl11' but versions '3.6.2' vs '1.1.1w'; no lookalikes either,
opensync,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,opensc; gensync
opensync-shlibs,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
openttd,openttd,1.0,exact,confident,name identical in both managers; homepages 'http://www.openttd.org/' vs 'https://www.openttd.org/',
openttd-opengfx,openttd-opengfx,1.0,exact,confident,name identical in both managers; homepages 'http://www.openttd.org/' vs 'https://github.com/OpenTTD/OpenGFX',
openttd-openmsx,openttd-openmsx,1.0,exact,confident,name identical in both managers; homepages 'http://www.openttd.org/' vs 'https://github.com/OpenTTD/OpenMSX',
openttd-opensfx,openttd-opensfx,1.0,exact,confident,name identical in both managers; homepages 'http://www.openttd.org/' vs 'https://github.com/OpenTTD/OpenSFX',
openvpn,openvpn2,0.95,replaced-by,confident,'openvpn' is marked replaced_by 'openvpn2',
openvpn%type_pkg[osx],openvpn2,0.9,homepage,confident,same upstream 'https://openvpn.net/' (desc overlap 0.16),
ophcrack,ophcrack,1.0,exact,confident,name identical in both managers; homepages 'http://ophcrack.sourceforge.net' vs 'https://ophcrack.sourceforge.io',
optim%type_pkg[-blas]-oct%type_pkg[oct],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
optim-oct%type_pkg[oct],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
optim-oct305,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
optiminterp%type_pkg[-blas]-oct%type_pkg[oct],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
optiminterp-oct%type_pkg[oct],,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
optimum,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
